cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12266,TS_12266,PT1,4.25,0,0,0,9.5,9.75,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12267,TS_12267,PT1,6.5,7.75,8.25,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12268,TS_12268,PT1,3.35,0,0,0,0,9,5.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12269,TS_12269,PT1,5.5,10,0,0,0,0,7.25,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_12270,TS_12270,PT1,5.75,8.5,0,0,0,0,5.5,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12271,TS_12271,PT1,5.35,7.25,0,0,0,0,7.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_12272,TS_12272,PT1,5.85,6,0,0,7.25,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12273,TS_12273,PT1,4.25,0,0,0,0,7.6,6.25,0,0,0,0,0,7.75,0,0,0,0,0,0,0
TS_12274,TS_12274,PT1,5,5.6,4.35,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12275,TS_12275,PT1,5.5,7.75,8.75,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12276,TS_12276,PT1,6.5,6.85,0,0,0,0,8,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_12277,TS_12277,PT1,6.75,8.5,7.75,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12278,TS_12278,PT1,5.5,7,5.2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12279,TS_12279,PT1,6,0,0,0,0,8,8.25,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_12280,TS_12280,PT1,5,6.5,0,0,0,0,6.5,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_12281,TS_12281,PT1,6.6,0,8.75,8.5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12282,TS_12282,PT1,6.25,0,0,0,8.75,9.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12283,TS_12283,PT1,4.25,0,0,0,7.75,9.5,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
